iq,omega_m,omega_m_ref,imr,dwr_dt
0.022403,87.242790,83.775804,1.129984,-13.807247
0.067345,84.172760,83.775804,1.129984,-99.525658
0.061909,82.170998,83.775804,1.129984,-43.736446
0.099033,82.514771,83.775804,1.129984,-12.914729
0.065494,81.433960,83.775804,1.129984,-35.643627
0.036243,83.537323,83.775804,1.129984,59.254372
0.070420,82.693390,83.775804,1.129984,-26.376928
0.052352,82.424629,83.775804,1.129984,5.169474
0.097953,84.297844,83.775804,1.129984,32.021797
0.192737,82.773399,83.775804,1.129984,-41.064548
0.065512,84.926079,83.775804,1.129984,57.039841
0.068138,83.248901,83.775804,1.129984,-45.717644
0.053760,84.289879,83.775804,1.129984,46.089382
0.097503,84.116043,83.775804,1.129984,-27.334341
0.070201,83.060738,83.775804,1.129984,-14.857960
0.050032,84.566078,83.775804,1.129984,31.008610
0.060731,82.998917,83.775804,1.129984,-33.303825
0.125306,84.787552,83.775804,1.129984,50.053024
0.100837,83.602959,83.775804,1.129984,-34.947487
0.089006,83.366920,83.775804,1.129984,12.940701
0.068339,84.030159,83.775804,1.129984,-8.309562
0.011959,82.873093,83.775804,1.129984,-30.882725
0.086901,85.040718,83.775804,1.129984,45.794209
0.068946,82.965561,83.775804,1.129984,-40.456947
0.078413,84.551514,83.775804,1.129984,51.877842
0.070599,83.731224,83.775804,1.129984,-32.639969
0.032492,83.644890,83.775804,1.129984,19.638369
0.058037,84.056221,83.775804,1.129984,-9.753318
0.050348,82.707138,83.775804,1.129984,-29.762579
0.053845,84.810013,83.775804,1.129984,30.654902
0.029845,83.490295,83.775804,1.129984,-35.495964
0.025818,83.845291,83.775804,1.129984,34.407928
0.154742,83.478470,83.775804,1.129984,-23.791739
0.073885,83.262970,83.775804,1.129984,8.704864
0.077335,84.419975,83.775804,1.129984,5.258169
0.105953,82.615089,83.775804,1.129984,-39.092953
0.071099,84.606766,83.775804,1.129984,38.306942
0.044709,83.120819,83.775804,1.129984,-44.893017
0.076346,84.487785,83.775804,1.129984,49.072102
0.049900,83.395676,83.775804,1.129984,-38.504375
0.027701,83.933510,83.775804,1.129984,37.814640
0.132627,84.728073,83.775804,1.129984,5.262340
0.035650,82.880234,83.775804,1.129984,-22.937389
0.052171,84.338318,83.775804,1.129984,13.533337
0.028806,82.956970,83.775804,1.129984,-41.205719
0.018176,84.729721,83.775804,1.129984,53.147545
-0.041290,83.753975,83.775804,1.129984,-32.265335
0.047588,83.440002,83.775804,1.129984,19.314213
0.143703,84.650757,83.775804,1.129984,13.244072
0.069073,82.874016,83.775804,1.129984,-44.407635
-0.013101,84.520142,83.775804,1.129984,35.173977
0.061066,83.146797,83.775804,1.129984,-45.185349
0.039440,84.020279,83.775804,1.129984,39.270409
0.008443,84.250336,83.775804,1.129984,-11.559344
0.030798,82.780540,83.775804,1.129984,-19.712633
0.122944,84.420441,83.775804,1.129984,36.279499
0.049920,82.772537,83.775804,1.129984,-48.860027
0.124114,84.279778,83.775804,1.129984,33.753098
0.077809,83.647606,83.775804,1.129984,-33.118294
0.040140,83.269882,83.775804,1.129984,15.398415
-0.017701,84.661110,83.775804,1.129984,17.837463
0.049832,82.750832,83.775804,1.129984,-42.433651
0.126989,84.412903,83.775804,1.129984,37.805927
0.087485,83.062248,83.775804,1.129984,-38.922482
0.128282,84.514114,83.775804,1.129984,60.911873
0.091378,84.100700,83.775804,1.129984,-27.402679
0.119078,82.688286,83.775804,1.129984,-36.190369
0.058539,84.622955,83.775804,1.129984,42.566002
0.073237,83.206703,83.775804,1.129984,-28.186523
0.063892,84.664223,83.775804,1.129984,46.606918
0.093684,83.364609,83.775804,1.129984,-46.051445
0.106032,83.584587,83.775804,1.129984,30.297806
-0.033792,84.654282,83.775804,1.129984,10.502410
0.021094,82.861809,83.775804,1.129984,-42.030163
0.051946,84.324501,83.775804,1.129984,15.879684
0.062423,83.103691,83.775804,1.129984,-29.599890
0.153745,84.695824,83.775804,1.129984,63.842804
0.086823,83.746788,83.775804,1.129984,-34.969288
-0.011140,82.818916,83.775804,1.129984,-14.356938
0.237388,84.243958,83.775804,1.129984,11.326150
0.057354,82.909203,83.775804,1.129984,-26.989370
0.073486,84.616188,83.775804,1.129984,22.767063
0.049478,82.952141,83.775804,1.129984,-48.984684
0.020116,84.634270,83.775804,1.129984,78.002998
0.132394,83.799057,83.775804,1.129984,-24.793377
0.064265,83.114395,83.775804,1.129984,-3.662503
0.089645,84.039200,83.775804,1.129984,0.120010
0.051355,82.761765,83.775804,1.129984,-28.318277
0.072243,85.052559,83.775804,1.129984,46.150410
0.040391,82.910629,83.775804,1.129984,-63.688168
0.067312,84.298615,83.775804,1.129984,50.356506
0.058863,83.641022,83.775804,1.129984,-22.578176
0.028969,83.818794,83.775804,1.129984,27.171915
0.101556,84.205643,83.775804,1.129984,-16.583309
0.093517,82.742149,83.775804,1.129984,-19.736826
0.042259,84.730888,83.775804,1.129984,36.075619
0.068535,83.537857,83.775804,1.129984,-41.632103
-0.007541,84.053291,83.775804,1.129984,29.045555
0.037971,83.842621,83.775804,1.129984,-17.369974
0.051592,83.361664,83.775804,1.129984,13.834778
0.075791,85.138489,83.775804,1.129984,39.992657
0.036156,82.630798,83.775804,1.129984,-67.142273
0.113475,84.010826,83.775804,1.129984,32.141731
0.069655,83.525047,83.775804,1.129984,-23.981985
0.039598,83.862862,83.775804,1.129984,34.069130
0.075212,84.396065,83.775804,1.129984,3.088938
0.071721,82.321312,83.775804,1.129984,-44.841038
0.077325,84.598938,83.775804,1.129984,48.985653
0.032714,83.220963,83.775804,1.129984,-44.263161
0.047797,84.208183,83.775804,1.129984,43.092991
0.106509,83.573860,83.775804,1.129984,-35.850266
0.080701,83.228371,83.775804,1.129984,2.921765
0.069327,85.357826,83.775804,1.129984,50.929695
0.090878,82.843903,83.775804,1.129984,-52.734600
0.084760,84.260643,83.775804,1.129984,42.148975
0.067243,83.199112,83.775804,1.129984,-45.769981
0.118628,84.058128,83.775804,1.129984,40.483006
0.090126,84.300468,83.775804,1.129984,-10.698887
0.052094,82.567764,83.775804,1.129984,-35.841633
